District,Sector
Bugesera,All
Bugesera,Gashora
Bugesera,Juru
Bugesera,Kamabuye
Bugesera,Mareba
Bugesera,Mayange
Bugesera,Musenyi
Bugesera,Mwogo
Bugesera,Ngeruka
Bugesera,Ntarama
Bugesera,Nyamata
Bugesera,Nyarugenge
Bugesera,Rilima
Bugesera,Ruhuha
Bugesera,Rweru
Bugesera,Shyara
Burera,All
Burera,Bungwe
Burera,Butaro
Burera,Cyanika
Burera,Cyeru
Burera,Gahunga
Burera,Gatebe
Burera,Gitovu
Burera,Kagogo
Burera,Kinoni
Burera,Kinyababa
Burera,Kivuye
Burera,Nemba
Burera,Rugarama
Burera,Rugengabari
Burera,Ruhunde
Burera,Rusarabuye
Burera,Rwerere
Gakenke,All
Gakenke,Busengo
Gakenke,Coko
Gakenke,Cyabingo
Gakenke,Gakenke
Gakenke,Gashenyi
Gakenke,Janja
Gakenke,Kamubuga
Gakenke,Karambo
Gakenke,Kivuruga
Gakenke,Mataba
Gakenke,Minazi
Gakenke,Mugunga
Gakenke,Muhondo
Gakenke,Muyongwe
Gakenke,Muzo
Gakenke,Nemba
Gakenke,Ruli
Gakenke,Rusasa
Gakenke,Rushashi
Gasabo,All
Gasabo,Bumbogo
Gasabo,Gatsata
Gasabo,Gikomero
Gasabo,Gisozi
Gasabo,Jabana
Gasabo,Jali
Gasabo,Kacyiru
Gasabo,Kimihurura
Gasabo,Kimironko
Gasabo,Kinyinya
Gasabo,Ndera
Gasabo,Nduba
Gasabo,Remera
Gasabo,Rusororo
Gasabo,Rutunga
Gatsibo,All
Gatsibo,Gasange
Gatsibo,Gatsibo
Gatsibo,Gitoki
Gatsibo,Kabarore
Gatsibo,Kageyo
Gatsibo,Kiramuruzi
Gatsibo,Kiziguro
Gatsibo,Muhura
Gatsibo,Murambi
Gatsibo,Ngarama
Gatsibo,Nyagihanga
Gatsibo,Remera
Gatsibo,Rugarama
Gatsibo,Rwimbogo
Gicumbi,All
Gicumbi,Bukure
Gicumbi,Bwisige
Gicumbi,Byumba
Gicumbi,Cyumba
Gicumbi,Giti
Gicumbi,Kageyo
Gicumbi,Kaniga
Gicumbi,Manyagiro
Gicumbi,Miyove
Gicumbi,Mukarange
Gicumbi,Muko
Gicumbi,Mutete
Gicumbi,Nyamiyaga
Gicumbi,Nyankenke
Gicumbi,Rubaya
Gicumbi,Rukomo
Gicumbi,Rushaki
Gicumbi,Rutare
Gicumbi,Ruvune
Gicumbi,Rwamiko
Gicumbi,Shangasha
Gisagara,All
Gisagara,Gikonko
Gisagara,Gishubi
Gisagara,Kansi
Gisagara,Kibirizi
Gisagara,Kigembe
Gisagara,Mamba
Gisagara,Muganza
Gisagara,Mugombwa
Gisagara,Mukindo
Gisagara,Musha
Gisagara,Ndora
Gisagara,Nyanza
